NIP,Label,MD,MI,MS,MC,LD,LI,LS,LC,CD,CI,CS,CC,N,G,A,L,P,I,T,V,X,S,B,O,R,D,C,Z,E,K,F,W,DA,FLX,KM,KN,KP,KV,KS,KI,LB,MB,OH,PM,SK
21847703,HA,1,1,13,4,13,3,1,1,-12,-2,12,3,3,8,4,3,2,2,1,3,3,6,7,7,7,5,6,2,4,3,7,7,3,3,1,2,2,3,2,3,3,2,4,2,4
21897703,HA,5,5,3,3,9,2,2,5,-4,3,1,-2,6,6,5,6,3,6,4,3,3,7,7,5,4,2,5,5,2,2,6,3,2,3,4,4,4,3,4,3,4,3,4,4,3
21917715,HA,4,1,8,3,10,4,2,4,-6,-3,6,-1,7,9,6,2,1,5,6,3,2,4,4,6,3,6,6,4,1,3,6,6,3,3,1,2,4,3,3,3,3,2,4,3,3
21947703,HA,2,3,8,6,11,5,0,2,-9,-2,8,4,7,6,6,1,3,2,5,6,5,3,2,7,6,9,2,4,5,3,3,5,3,3,1,5,4,5,3,3,5,3,3,3,2
21957724,HA,1,5,10,2,8,6,3,2,-7,-1,7,0,4,7,5,3,3,4,1,1,4,5,6,9,7,7,3,3,7,0,5,6,2,4,1,3,3,4,3,3,4,3,3,2,3
21967707,HA,2,4,3,6,8,3,2,5,-6,1,1,1,4,6,4,5,6,4,4,2,3,6,7,4,2,6,6,4,4,3,3,7,3,3,3,1,4,5,3,4,4,3,3,3,3
21967708,HA,5,3,4,7,9,7,2,1,-4,-4,2,6,6,2,0,1,4,8,2,6,4,4,2,7,6,7,5,6,4,4,5,7,4,2,2,1,3,5,2,3,3,1,3,3,4
21967730,HA,2,4,8,2,10,2,0,5,-8,2,8,-3,3,3,1,2,4,6,5,4,6,9,5,7,4,2,3,6,7,3,5,5,3,4,2,2,2,3,3,3,3,2,2,2,2
21967732,HA,4,1,8,5,5,8,4,2,-1,-7,4,3,6,5,4,0,1,2,2,2,4,7,5,5,5,9,8,4,5,2,7,7,4,3,1,3,3,2,3,3,2,2,3,3,3
21967734,HA,0,6,6,4,9,5,2,4,-9,1,4,0,5,3,2,3,0,3,4,2,4,8,7,9,5,4,7,6,6,4,3,5,3,4,3,3,3,4,3,3,3,2,3,3,3
21967735,HA,6,2,0,8,6,9,2,2,0,-7,-2,6,8,6,3,2,6,3,2,5,4,2,3,4,5,9,8,6,3,4,2,5,3,3,2,4,3,4,3,2,3,2,3,3,3
